,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
62,Nikolce Noveski Mainz,43, D(C),,32,2836,-,0.2,43.3,83.0,-,5.5,-,7.3
63,Gonzalo Castro Leverkusen,35, D(L),M(CR),30,2559,8,2.6,45.5,79.0,1.7,3.8,0.1,7.29
64,Kevin Volland Hoffenheim,30, AM(CLR),FW,32(1),2880,4,1.2,24.1,69.2,0.5,0.9,0.2,7.29
65,Jérôme Boateng Bayern,34, D(CR),,25,2169,1,0.6,78.7,87.3,0.2,9.4,-,7.28
66,Philipp Bargfrede Werder Bremen,33, D(C),M(C),17(3),1589,-,0.5,32.5,68.0,0.2,1.8,-,7.28
67,Erik Durm Borussia Dortmund,30, D(LR),M(LR),14(5),1392,-,0.5,35.4,73.8,0.4,1.9,-,7.27
68,Cristian Molinaro Stuttgart,39, D(L),M(L),1,90,-,-,49.0,77.6,-,5.0,-,7.26
69,Juan Arango Borussia M.Gladbach,42, AM(L),,31,2608,5,0.7,45.3,73.4,0.2,1.8,0.2,7.25
70,Robin Knoche Wolfsburg,30, D(C),,30(2),2783,2,0.3,56.1,83.6,-,7.0,0.1,7.25
71,Marco Russ Eintracht Frankfurt,37, D(C),DMC,28(1),2500,2,0.4,43.5,78.7,0.1,3.4,-,7.25
72,Sejad Salihovic Hoffenheim,38, D(L),M(CL),22(6),1835,5,2.0,35.6,75.5,1.8,1.8,0.1,7.24
73,Shinji Okazaki Mainz,36, AM(CLR),FW,31(2),2719,1,0.8,17.8,76.0,0.1,0.3,0.1,7.23
74,Leon Goretzka Schalke,27, M(CR),,15(10),1503,1,1.1,27.1,76.8,0.2,1.4,0.1,7.22
75,Zdenek Pospech Mainz,43, D(R),,34,3016,5,1.2,36.6,78.2,0.4,3.1,-,7.22
76,Atsuto Uchida Schalke,34, D(R),M(R),17,1521,3,0.8,45.9,80.1,0.3,2.5,-,7.22
77,Philipp Lahm Bayern,38, D(R),DMC,25(3),2340,4,1.2,79.5,91.7,0.6,5.1,0.2,7.22
78,Heiko Westermann Hamburg,39, D(CLR),,30,2613,2,0.7,45.8,79.7,0.2,4.0,-,7.22
79,Lars Stindl Hannover,34, M(CLR),FW,31,2657,2,1.5,45.6,77.3,0.6,2.7,0.2,7.22
80,Marc-André ter Stegen Borussia M.Gladbach,30, GK,,34,3060,-,0.1,48.1,72.9,-,12.3,-,7.21
81,Sebastian Kehl Borussia Dortmund,42, M(C),,12(5),1148,1,0.7,41.0,79.9,-,2.2,-,7.21
82,Daniel Schwaab Stuttgart,34, D(CR),DMC,32,2872,1,0.5,45.8,77.8,0.1,5.3,-,7.2
83,Xherdan Shaqiri Bayern,31, M(CLR),,10(7),793,2,1.4,24.9,84.7,1.1,1.2,0.1,7.2
84,Alexander Meier Eintracht Frankfurt,39, M(C),FW,18(4),1654,2,1,25.6,75.7,-,1.5,-,7.2
85,Stefan Bell Mainz,31, D(CR),,25(2),2276,4,0.4,37.2,77.2,0.1,5.9,-,7.19
86,Javier Pinola Nuernberg,39, D(CL),,19(1),1643,-,0.2,48.9,86.2,0.1,4.4,-,7.19
87,David Abraham Hoffenheim,36, D(C),,20,1724,-,0.1,43.0,75.2,-,5.5,-,7.19
88,Sebastian Boenisch Leverkusen,35, D(CL),,25,2250,3,1,36.4,70.8,0.4,3.4,-,7.18
89,Johan Djourou Hamburg,35, D(C),,22,1894,-,-,45.0,86.6,-,5.1,-,7.18
90,Tom Starke Bayern,41, GK,,2,180,-,-,40.5,82.7,-,11.5,-,7.18
91,Christian Gentner Stuttgart,37, M(CLR),,28,2520,3,0.9,46.0,76.0,0.2,4.3,0.2,7.17
92,Rafael van der Vaart Hamburg,39, M(C),,26(1),2190,6,2.6,34.6,80.0,1.2,3.3,0.1,7.17
